from,to,weight
UVDL,LK,2
UVDL,NR,1
UVDL,SW,1
UVDL,CS,1
UVDL,RK,1
LK,NR,1
LK,SW,1
LK,CS,1
LK,RH,1
LK,CM,1
LK,KP,1
LK,RK,1
LK,CLa,2
NR,SW,1
NR,CS,1
NR,RK,1
SW,CS,1
CL,KS,1
CL,LM,1
CL,KD,1
CL,EL,1
CL,AGL,2
KS,LM,1
KS,KD,1
KS,EL,1
LM,KD,1
LM,EL,1
KD,EL,1
AB,FT,1
AB,AM,1
AB,AGL,1
AB,ER,1
AB,RH,2
FT,AM,1
FT,AGL,1
FT,ER,1
AM,AGL,1
AM,ER,1
AGL,ER,1
RH,CM,1
RH,KP,1
RH,RK,1
CM,KP,1
CM,RK,1
KP,RK,1
CLa,SB,1
CLa,CH,1
CLa,MW,1
SB,CH,1
SB,MW,1
CH,MW,1
